id,text,label,label_name,category,source,code_mix_type,cleaned_text,word_count,cleaned_word_count,char_length,cmi,tanglish_pct,english_pct
1,"Whatsapp la share aagura message: 5G tower rays vandhu sparrows and birds ah kill pannuthu, immediate ah stop panna solranga.",1,Fake,Tech Rumor,WhatsApp,Tanglish,whatsapp la share aagura message: 5g tower rays vandhu sparrows and birds ah kill pannuthu immediate ah stop panna solranga,20,20,125,20.0,20.0,80.0
2,TN Government announced tomorrow local holiday for Chennai schools due to heavy rain forecast by IMD.,0,Real,Weather News,News Portal,English-Mixed,tn government announced tomorrow local holiday for chennai schools due to heavy rain forecast by imd,16,16,101,0.0,0.0,100.0
3,Intha kashayam kudicha 2 days la COVID and virus fully cure aayidum no need for hospital visit bro.,1,Fake,Health Misinformation,WhatsApp,Tanglish,intha kashayam kudicha 2 days la covid and virus fully cure aayidum no need for hospital visit bro,18,18,99,29.4,29.4,70.6
4,"ISRO successfully launched the Chandrayaan-3 mission from Sriharikota, historic moment for India.",0,Real,Science,Twitter/X,English-Mixed,isro successfully launched the chandrayaan-3 mission from sriharikota historic moment for india,12,12,97,0.0,0.0,100.0
5,Urgent alert: Govt is freezing all bank accounts if you don't link Aadhaar card within tonight 12 PM link below.,1,Fake,Financial Scam,WhatsApp,Tanglish,urgent alert: govt is freezing all bank accounts if you don't link aadhaar card within tonight 12 pm link below,20,20,112,0.0,0.0,100.0
6,RBI increased the repo rate by 25 basis points to control inflation in the current quarter.,0,Real,Finance,News Portal,English-Mixed,rbi increased the repo rate by 25 basis points to control inflation in the current quarter,16,16,91,0.0,0.0,100.0
7,Onion juice la lemon mix panni kudicha 100% hair loss permanent ah stop aagum viral tip.,1,Fake,Health Misinformation,YouTube,Tanglish,onion juice la lemon mix panni kudicha 100% hair loss permanent ah stop aagum viral tip,16,16,88,20.0,20.0,80.0
8,Anna University published the semester exam results on their official web portal today afternoon.,0,Real,Education,Twitter/X,English-Mixed,anna university published the semester exam results on their official web portal today afternoon,14,14,97,0.0,0.0,100.0
9,Breaking news: UNESCO declared Tamil as the best and most traditional language in the world award 2026.,1,Fake,Social Media Rumor,Facebook,Tanglish,breaking news: unesco declared tamil as the best and most traditional language in the world award 2026,17,17,103,0.0,0.0,100.0
10,Chennai Metro Railway announced extended train operational hours for IPL cricket match spectators tonight.,0,Real,Transport,News Portal,English-Mixed,chennai metro railway announced extended train operational hours for ipl cricket match spectators tonight,14,14,106,0.0,0.0,100.0
11,Pluto planet eppo Earth pakkathula varudho appo free electricity get panni namma use pannalam bro viral video.,1,Fake,Science Hoax,YouTube,Tanglish,pluto planet eppo earth pakkathula varudho appo free electricity get panni namma use pannalam bro viral video,17,17,110,23.5,23.5,76.5
12,Southern Railway announced special express trains between Chennai Central and Tiruchirappalli for Diwali festival.,0,Real,Transport,News Portal,English-Mixed,southern railway announced special express trains between chennai central and tiruchirappalli for diwali festival,14,14,114,0.0,0.0,100.0
13,New rule by TRAI: Daily 2 hours internet shutdown across India from tomorrow night 1 AM to 3 AM for satellite repair.,1,Fake,Tech Rumor,WhatsApp,Tanglish,new rule by trai: daily 2 hours internet shutdown across india from tomorrow night 1 am to 3 am for satellite repair,22,22,117,0.0,0.0,100.0
14,TANGEDCO announced scheduled power outage in select areas of Madurai for transformer maintenance work.,0,Real,Public Utility,News Portal,English-Mixed,tangedco announced scheduled power outage in select areas of madurai for transformer maintenance work,14,14,102,0.0,0.0,100.0
15,Free Rs.5000 recharge for all mobile users on PM Modi birthday celebration click this website link immediately.,1,Fake,Phishing Scam,WhatsApp,Tanglish,free rs.5000 recharge for all mobile users on pm modi birthday celebration click this website link immediately,17,17,111,0.0,0.0,100.0
16,Indian Cricket Team announced the 15-player squad for the upcoming ICC World Cup tournament.,0,Real,Sports,Twitter/X,English-Mixed,indian cricket team announced the 15-player squad for the upcoming icc world cup tournament,14,14,92,0.0,0.0,100.0
17,Drinking boiled banana peel water every morning will cancel diabetes in just 7 days without insulin.,1,Fake,Health Misinformation,Facebook,Tanglish,drinking boiled banana peel water every morning will cancel diabetes in just 7 days without insulin,16,16,100,0.0,0.0,100.0
18,Madras High Court issued notice to local civic body regarding road pothole repairs before monsoon season.,0,Real,Judiciary,News Portal,English-Mixed,madras high court issued notice to local civic body regarding road pothole repairs before monsoon season,16,16,105,0.0,0.0,100.0
19,NASA confirms 3 days of total darkness across Earth due to solar storm next week forward to all family groups.,1,Fake,Science Hoax,WhatsApp,Tanglish,nasa confirms 3 days of total darkness across earth due to solar storm next week forward to all family groups,20,20,110,0.0,0.0,100.0
20,Reserve Bank of India issued guidelines warning citizens against sharing OTP and PIN details with fraudsters.,0,Real,Finance,News Portal,English-Mixed,reserve bank of india issued guidelines warning citizens against sharing otp and pin details with fraudsters,16,16,109,0.0,0.0,100.0
21,"Intha App download panna unga bank account la daily Rs.1000 credit aagum, 100% government verified bro.",1,Fake,Financial Scam,Telegram,Tanglish,intha app download panna unga bank account la daily rs.1000 credit aagum 100% government verified bro,16,16,103,42.9,42.9,57.1
22,Tamil Nadu Directorate of Public Health issued advisory on dengue prevention during rainy season.,0,Real,Health,News Portal,English-Mixed,tamil nadu directorate of public health issued advisory on dengue prevention during rainy season,14,14,97,0.0,0.0,100.0
23,Eating garlic with honey at night will permanently eliminate all types of cancer cells within two weeks.,1,Fake,Health Misinformation,WhatsApp,Tanglish,eating garlic with honey at night will permanently eliminate all types of cancer cells within two weeks,17,17,104,0.0,0.0,100.0
24,ISRO successfully launched the Aditya-L1 solar observation satellite towards Sun Earth L1 point.,0,Real,Science,Twitter/X,English-Mixed,isro successfully launched the aditya-l1 solar observation satellite towards sun earth l1 point,13,13,96,0.0,0.0,100.0
25,Govt is secretly installing microchips in new 2000 rupee notes to track black money from satellite.,1,Fake,Tech Rumor,WhatsApp,Tanglish,govt is secretly installing microchips in new 2000 rupee notes to track black money from satellite,16,16,99,0.0,0.0,100.0
26,Tamil Nadu Chief Minister inaugurated new flyover project in Coimbatore to reduce city traffic congestion.,0,Real,Politics,News Portal,English-Mixed,tamil nadu chief minister inaugurated new flyover project in coimbatore to reduce city traffic congestion,15,15,106,0.0,0.0,100.0
27,WhatsApp unga private messages and photos ah Facebook ad network ku sell panranga immediately uninstall pannunga.,1,Fake,Tech Rumor,WhatsApp,Tanglish,whatsapp unga private messages and photos ah facebook ad network ku sell panranga immediately uninstall pannunga,16,16,113,18.8,18.8,81.2
28,State Bank of India updated YONO mobile banking application with enhanced security features for users.,0,Real,Finance,News Portal,English-Mixed,state bank of india updated yono mobile banking application with enhanced security features for users,15,15,102,0.0,0.0,100.0
29,Neengal intha forward message 10 contacts ku send panna ungaluku Rs.500 talktime free ah milikkum.,1,Fake,Social Media Hoax,WhatsApp,Tanglish,neengal intha forward message 10 contacts ku send panna ungaluku rs.500 talktime free ah milikkum,15,15,98,30.8,30.8,69.2
30,Chennai Corporation announced free vaccination camp for pets in all zonal veterinary clinics.,0,Real,Public Health,News Portal,English-Mixed,chennai corporation announced free vaccination camp for pets in all zonal veterinary clinics,13,13,93,0.0,0.0,100.0
31,Plastic rice and artificial egg sell panranga supermarkets la parthu vanggunga video proof attached.,1,Fake,Food Hoax,Facebook,Tanglish,plastic rice and artificial egg sell panranga supermarkets la parthu vanggunga video proof attached,14,14,100,28.6,28.6,71.4
32,IIT Madras researchers developed new low-cost water purification system using nanotechnology.,0,Real,Science,News Portal,English-Mixed,iit madras researchers developed new low-cost water purification system using nanotechnology,11,11,93,0.0,0.0,100.0
33,Night la phone charging podum podu earphone use panna battery blast aagi brain damage aagum mandatory alert.,1,Fake,Tech Rumor,WhatsApp,Tanglish,night la phone charging podum podu earphone use panna battery blast aagi brain damage aagum mandatory alert,17,17,108,23.5,23.5,76.5
34,Chennai Airport commissioned new integrated passenger terminal building for international flights.,0,Real,Infrastructure,News Portal,English-Mixed,chennai airport commissioned new integrated passenger terminal building for international flights,11,11,98,0.0,0.0,100.0
35,Free Laptop distribution for all college students under National Digital Youth scheme fill google form link.,1,Fake,Phishing Scam,WhatsApp,Tanglish,free laptop distribution for all college students under national digital youth scheme fill google form link,16,16,108,0.0,0.0,100.0
36,Tamil Nadu Public Service Commission TNPSC published notification for Group 4 recruitment examination.,0,Real,Education,News Portal,English-Mixed,tamil nadu public service commission tnpsc published notification for group 4 recruitment examination,13,13,102,0.0,0.0,100.0
37,Salt water la lemon and turmeric potu gargle panna multi variant viruses 10 seconds la death aagum.,1,Fake,Health Misinformation,WhatsApp,Tanglish,salt water la lemon and turmeric potu gargle panna multi variant viruses 10 seconds la death aagum,17,17,99,31.2,31.2,68.8
38,Reserve Bank of India introduced digital rupee e-Rupee pilot project for retail transactions in major cities.,0,Real,Finance,News Portal,English-Mixed,reserve bank of india introduced digital rupee e-rupee pilot project for retail transactions in major cities,16,16,109,0.0,0.0,100.0
39,UNESCO selected Chennai city bus conductor as world best employee award share max to support Tamil pride.,1,Fake,Social Media Rumor,Facebook,Tanglish,unesco selected chennai city bus conductor as world best employee award share max to support tamil pride,17,17,105,0.0,0.0,100.0
40,Metrowater announced 24 hour water supply disruption in Zone 5 and 6 for pipeline replacement work.,0,Real,Public Utility,News Portal,English-Mixed,metrowater announced 24 hour water supply disruption in zone 5 and 6 for pipeline replacement work,16,16,99,0.0,0.0,100.0
41,5G SIM card insert panna unga phone overall storage double aagum free feature enabled by telecom companies.,1,Fake,Tech Rumor,YouTube,Tanglish,5g sim card insert panna unga phone overall storage double aagum free feature enabled by telecom companies,17,17,107,17.6,17.6,82.4
42,Madurai Kamaraj University announced admissions open for post-graduate distance education courses.,0,Real,Education,News Portal,English-Mixed,madurai kamaraj university announced admissions open for post-graduate distance education courses,11,11,98,0.0,0.0,100.0
43,Neem leaf juice mix with black pepper will completely prevent heart attacks forever doctor secret revealed.,1,Fake,Health Misinformation,WhatsApp,Tanglish,neem leaf juice mix with black pepper will completely prevent heart attacks forever doctor secret revealed,16,16,107,0.0,0.0,100.0
44,Tamil Nadu Electricity Board completed 100% smart meter installation trial phase in select districts.,0,Real,Public Utility,News Portal,English-Mixed,tamil nadu electricity board completed 100% smart meter installation trial phase in select districts,14,14,101,0.0,0.0,100.0
45,Govt planning to ban all old 4G smartphones from next month to force people buy 5G phones fast.,1,Fake,Tech Rumor,WhatsApp,Tanglish,govt planning to ban all old 4g smartphones from next month to force people buy 5g phones fast,18,18,95,0.0,0.0,100.0
